Date	All India	Ahmedabad	Bangalore	Chennai	Delhi	Kolkata
 06-2011	116.00	121.30	110.70	101.20	126.80	103.00
 09-2011	119.40	130.40	107.80	110.40	124.80	105.00
 12-2011	125.50	137.10	138.60	110.70	136.70	103.20
 03-2012	134.10	141.00	133.30	108.20	158.20	106.10
 06-2012	142.60	140.80	133.30	119.20	177.30	135.20
 09-2012	147.10	146.40	136.60	117.80	183.20	149.10
 12-2012	157.00	150.60	141.20	137.60	200.70	162.50
 03-2013	160.80	155.00	141.90	137.40	213.10	169.40
 06-2013	162.30	161.90	142.30	138.30	214.80	171.80
 09-2013	169.20	171.70	150.40	150.00	215.70	173.50
